Event,Win/Loss/Draw,Fighter,Opponent,Method,Referee,Round,Time,Closed Odds
"AFC - Aspera FC 15","WIN","TAILA SANTOS","MARTA SOUZA","KO (Punch)","Fabiano Hawthorne","1","2:36",""
"XFCI - XFC International 6","WIN","TAILA SANTOS","RACHAEL CUMMINS","TKO (Punches)","N/A","1","4:28",""
"UOC - University of Champions 1","WIN","TAILA SANTOS","GEISYELE NASCIMENTO","KO (Head Kick)","Andre Ricardo","1","0:30",""
"AFC - Aspera FC 4","WIN","TAILA SANTOS","KESSINY MARA","TKO (Punches)","Ricardo Tirloni","1","2:20",""
"Striker's House Cup 31 - Fight Against Drugs","WIN","TAILA SANTOS","JOSIANE NUNES DE LIMA","Decision (Unanimous)","N/A","3","5:00",""
"Nitrix Fight Evolution 3 - Amateur","LOSS","TAILA SANTOS","DAIANA TORQUATO","Decision (Unanimous)","N/A","3","3:00",""
"UFC 242 - Khabib vs. Poirier","LOSS","TAKASHI SATO","BELAL MUHAMMAD","Submission (Rear-Naked Choke)","Viacheslav Kiselev","3","1:55","+285"
"UFC Fight Night 150 - Jacare vs. Hermansson","WIN","TAKASHI SATO","BEN SAUNDERS","TKO (Punches and Elbows)","Larry Downs Jr.","2","1:18","-255"
"Pancrase 300 - Sato vs. Vaile","WIN","TAKASHI SATO","MATT VAILE","TKO (Punches)","Kenichi Serizawa","2","3:37",""
"Pancrase 297 - Sato vs. Franca","LOSS","TAKASHI SATO","GLAICO FRANCA","Submission (Rear-Naked Choke)","Akira Yamazaki","4","1:15",""
"Grandslam 7 - Way of the Cage","WIN","TAKASHI SATO","MASAYUKI HAMAGISHI","TKO (Elbows and Punches)","N/A","1","0:52",""
"Pancrase - 292","WIN","TAKASHI SATO","AKIHIRO MURAYAMA","TKO (Punches)","Kenichi Serizawa","1","4:15",""
"Pancrase - 289","WIN","TAKASHI SATO","KENTA TAKAGI","TKO (Punches)","Hirokazu Takamoto","1","3:57",""
"Pancrase - 286","WIN","TAKASHI SATO","ANTON RADMAN","TKO (Punches)","Ryogaku Wada","1","3:43",""
"Pancrase - 273","WIN","TAKASHI SATO","ERIC MICHAEL FOUGHT","Decision (Split)","Jeff Mackens","3","3:00",""
"Pancrase - 269","LOSS","TAKASHI SATO","KENTA TAKAGI","KO (Punch)","Kenichi Serizawa","1","2:27",""
"Deep - 72 Impact","WIN","TAKASHI SATO","YUSAKU TSUKUMO","TKO (Doctor Stoppage)","N/A","1","2:09",""
"Pancrase - 265","WIN","TAKASHI SATO","VYRON PHILLIPS","Decision (Unanimous)","Jeff Mackens","3","5:00",""
"Deep - Dream Impact 2014: Omisoka Special","WIN","TAKASHI SATO","HIDETORA HIDETORA","TKO (Punches)","N/A","1","4:21",""
"Tribe Tokyo Fight - TTF Challenge 03","WIN","TAKASHI SATO","YASUAKI MIURA","KO (Punch)","N/A","1","0:29",""
"Pancrase - 260","WIN","TAKASHI SATO","GENPEI HAYASHI","TKO (Punches)","Masato Fukuda","1","2:51",""
"Pancrase - 258","WIN","TAKASHI SATO","MAKOTO KAWAWA","Submission (Rear-Naked Choke)","Kenichi Serizawa","3","2:36",""
"Pancrase - Bayside Fight 2","WIN","TAKASHI SATO","JOE    PROCTOR","Submission (Arm-Triangle Choke)","Yuichi Yachi","1","2:31",""
"Deep - Tribe Tokyo Fight","WIN","TAKASHI SATO","SHOTARO YABE","Decision (Unanimous)","N/A","2","5:00",""
"UFC 237 - Namajunas vs. Andrade","LOSS","TALITA BERNARDO","VIVIANE ARAUJO","KO (Punch)","Fernando Portella","3","0:48","-600"
"UFC Fight Night 138 - Oezdemir vs. Smith","WIN","TALITA BERNARDO","SARAH MORAS","Decision (Unanimous)","Eric Nevitt","3","5:00","+135"
"UFC Fight Night 124 - Stephens vs. Choi","LOSS","TALITA BERNARDO","IRENE ALDANA","Decision (Unanimous)","Mario Yamasaki","3","5:00","+115"
"UFC Fight Night 115 - Volkov vs. Struve","LOSS","TALITA BERNARDO","MARION RENEAU","TKO (Punches)","Kevin Sataki","3","4:54",""
"LFN 5 - Five Points","WIN","TALITA BERNARDO","IREN RACZ","Submission (Rear-Naked Choke)","Piotr Michalak","1","4:09",""
"AFC 41 - Road to KSW","WIN","TALITA BERNARDO","GISELE MOREIRA","Decision (Unanimous)","N/A","3","5:00",""
"RF - Rambo Fight","WIN","TALITA BERNARDO","PRISCILA CRISTINA DIAS BATISTA","Submission (Armbar)","Robson Relma","1","0:59",""
"MF - Maximus Fight 2","WIN","TALITA BERNARDO","LOHANNA CORREIA","Submission (Armbar)","Lenilson Tenorio","1","0:40",""
"FTF 11 - Face To Face 11 - Borrachinha vs. Wagnao","LOSS","TALITA BERNARDO","JULIANA VELASQUEZ","Decision (Unanimous)","N/A","3","5:00",""
"PRVT - Tamoios Fight","WIN","TALITA BERNARDO","NUBIA SANTOS DO NASCIMENTO","Submission (Rear-Naked Choke)","Bruno Carvalho","1","3:34",""
"NTF - Niteroi Top Fight 4","WIN","TALITA BERNARDO","DAILANE DA SILVA","Submission","Daniel Oliveira","1","0:55",""
"Unified MMA 37 - Chaos","WIN","TANNER BOSER","JARED KILKENNY","TKO (Leg Kick)","Luke Boutin","4","2:17",""
"M-1 Challenge 101 - Prikaza vs. Rakhmonov","DRAW","TANNER BOSER","ZAUR GADZHIBABAYEV","Draw (Majority)","Marco Broersen","3","5:00",""
"ACB 90 - Moscow","LOSS","TANNER BOSER","SALIMGEREY RASULOV","Decision (Unanimous)","Herb Dean","3","5:00",""
"ACB 88 - Barnatt vs. Celinski","WIN","TANNER BOSER","CHASE GORMLEY","Decision (Unanimous)","Herb Dean","3","5:00","-493"
"ACB 81 - Saidov vs. Carneiro","WIN","TANNER BOSER","D.J. LINDERMAN","Decision (Unanimous)","Greg Kleynjans","3","5:00",""
"ACB 72 - Makovsky vs. Sherbatov","WIN","TANNER BOSER","DAVE CRYER","KO (Punches)","Luc Lefebvre","2","4:19","-420"
"ACB 61 - Balaev vs. Bataev","LOSS","TANNER BOSER","DENIS SMOLDAREV","Decision (Unanimous)","John McCarthy","3","5:00",""
"ACB 54 - Supersonic","LOSS","TANNER BOSER","MUKHOMAD VAKHAEV","Decision (Split)","Herb Dean","3","5:00",""
"Unified MMA 29 - Boser vs. Cleveland","WIN","TANNER BOSER","RAKIM CLEVELAND","Decision (Unanimous)","Kyle Cardinal","5","5:00",""
"Unified MMA 28 - Boser vs. Yager","WIN","TANNER BOSER","JOE YAGER","Decision (Unanimous)","Kyle Cardinal","5","5:00",""
"Unified MMA 27 - Bosiak vs. Nybakken","WIN","TANNER BOSER","TONY LOPEZ","Decision (Unanimous)","Kyle Cardinal","5","5:00",""
"WFCA 17 - Grand Prix Akhmat","LOSS","TANNER BOSER","KAZBEK SAIDALIEV","Decision (Unanimous)","N/A","3","5:00",""
"Unified MMA 26 - Hague vs. Boser 2","WIN","TANNER BOSER","TIM HAGUE","KO (Elbows)","Vern Gorman","2","2:30",""
"Unified MMA 24 - Boser vs. Valimaki","WIN","TANNER BOSER","VICTOR VALIMAKI","TKO (Leg Kicks)","Kyle Cardinal","2","3:33",""
"KOTC - Mach 3","WIN","TANNER BOSER","JARED HENDERSON","TKO (Elbows)","Kyle Cardinal","1","3:54",""
"Unified MMA 22 - Boser vs. Hague","LOSS","TANNER BOSER","TIM HAGUE","KO (Punch)","Vern Gorman","1","0:06",""
"Unified MMA 20 - Boser vs. Tracey","WIN","TANNER BOSER","JORDAN TRACEY","TKO (Punches)","Vern Gorman","3","2:39",""
"Unified MMA 18 - Boser vs. Campbell","WIN","TANNER BOSER","NICK CAMPBELL","Submission (Rear-Naked Choke)","Vern Gorman","2","4:53",""
"XFFC 3 - Out Cold","WIN","TANNER BOSER","WILLIAM CARRIERE","Decision (Unanimous)","N/A","3","5:00",""
"KOTC - Anger Therapy","WIN","TANNER BOSER","MATTHEW SWIMMER","TKO (Punches)","Kyle Cardinal","1","2:32",""
"Unified MMA 16 - Davis vs. Banin","WIN","TANNER BOSER","DELL KNEBUSH","Submission (Rear-Naked Choke)","Kyle Cardinal","1","3:03",""
"Unified MMA 13 - Davis vs. Wilson","WIN","TANNER BOSER","MIKE COBEY","TKO (Punches)","John Braak","3","3:44",""
"UFC Fight Night 111 - Holm vs. Correia","LOSS","TAREC SAFFIEDINE","RAFAEL DOS ANJOS","Decision (Unanimous)","Greg Kleynjans","3","5:00","+169"
"UFC 207 - Nunes vs. Rousey","LOSS","TAREC SAFFIEDINE","DONG HYUN KIM","Decision (Split)","John McCarthy","3","5:00","+115"
"UFC Fight Night 88 - Almeida vs. Garbrandt","LOSS","TAREC SAFFIEDINE","RICK STORY","Decision (Unanimous)","John McCarthy","3","5:00","-105"
"UFC on Fox 18 - Johnson vs. Bader","WIN","TAREC SAFFIEDINE","JAKE ELLENBERGER","Decision (Unanimous)","Gasper Oliver","3","5:00","-275"
"UFC Fight Night 54 - MacDonald vs. Saffiedine","LOSS","TAREC SAFFIEDINE","RORY MACDONALD","TKO (Punches)","Herb Dean","3","1:28","+290"
"UFC Fight Night 34 - Saffiedine vs. Lim","WIN","TAREC SAFFIEDINE","HYUN GYU LIM","Decision (Unanimous)","Leon Roberts","5","5:00","-250"
"Strikeforce - Marquardt vs. Saffiedine","WIN","TAREC SAFFIEDINE","NATE MARQUARDT","Decision (Unanimous)","John McCarthy","5","5:00","-450"
"Strikeforce - Rousey vs. Kaufman","WIN","TAREC SAFFIEDINE","ROGER BOWLING","Decision (Unanimous)","Jason Herzog","3","5:00","-450"
"Strikeforce - Rockhold vs. Jardine","WIN","TAREC SAFFIEDINE","TYLER STINSON","Decision (Split)","Steve Mazzagatti","3","5:00","-450"
"Strikeforce / M-1 Global - Fedor vs. Henderson","WIN","TAREC SAFFIEDINE","SCOTT SMITH","Decision (Unanimous)","Scott Fischer","3","5:00",""
"Strikeforce - Challengers 13","LOSS","TAREC SAFFIEDINE","TYRON WOODLEY","Decision (Unanimous)","Greg Franklin","3","5:00","-450"
"SF 13 - Jardine vs. Prangley","WIN","TAREC SAFFIEDINE","BROCK LARSON","Decision (Unanimous)","Kerry Hatley","3","5:00","+145"
"Strikeforce - Challengers 8","WIN","TAREC SAFFIEDINE","NATE MOORE","KO (Punch)","Dave Hagen","2","1:21","-450"
"Strikeforce - Challengers 6","WIN","TAREC SAFFIEDINE","JAMES TERRY","Decision (Unanimous)","Jason McCoy","3","5:00","-450"
"Dream 12 - The Cage of the Rising Sun","LOSS","TAREC SAFFIEDINE","DONG SIK YOON","Decision (Split)","Moritaka Oshiro","3","5:00","n/a"
"Dream 10 - Welterweight Grand Prix 2009 Final","WIN","TAREC SAFFIEDINE","SEICHI IKEMOTO","Decision (Unanimous)","Kenichi Serizawa","2","5:00","-135"
"War Gods - War Gods 5","WIN","TAREC SAFFIEDINE","MIKE ARELLANO","Submission (Keylock)","N/A","1","2:44",""
"LBFN 4 - Long Beach Fight Night 4","WIN","TAREC SAFFIEDINE","SCOTT ROSE","Submission (Arm-Triangle Choke)","N/A","1","0:58",""
"UCW 12 - Heatwave","WIN","TAREC SAFFIEDINE","RICH BONDOC","Submission (Armbar)","N/A","1","2:18",""
"Shooto Belgium - Encounter the Braves","WIN","TAREC SAFFIEDINE","RAYMOND JARMAN","Decision (Unanimous)","N/A","3","5:00",""
"XG 3 - Xtreme Gladiators 3","WIN","TAREC SAFFIEDINE","SEBASTIEN GRANDIN","Submission (Armbar)","N/A","1","2:38",""
"NOTG 4 - Night of the Gladiators 4","LOSS","TAREC SAFFIEDINE","KAMIL UYGUN","Decision (Unanimous)","N/A","2","5:00",""
"Shooto Belgium - Consecration","WIN","TAREC SAFFIEDINE","GUILLAUME JANVIER","Submission (Kimura)","N/A","1","1:15",""
"UFC 238 - Cejudo vs. Moraes","WIN","TATIANA SUAREZ","NINA ANSAROFF","Decision (Unanimous)","Rob Madrigal","3","5:00","-825"
"UFC 228 - Woodley vs. Till","WIN","TATIANA SUAREZ","CARLA ESPARZA","TKO (Punches)","Kerry Hatley","3","4:33","-525"
"UFC Fight Night 129 - Maia vs. Usman","WIN","TATIANA SUAREZ","ALEXA GRASSO","Submission (Rear-Naked Choke)","Camila Albuquerque","1","2:44","-800"
"UFC Fight Night 120 - Poirier vs. Pettis","WIN","TATIANA SUAREZ","VIVIANE PEREIRA","Decision (Unanimous)","Mike King","3","5:00","-350"
"UFC - The Ultimate Fighter 23 Finale","WIN","TATIANA SUAREZ","AMANDA BOBBY COOPER","Submission (Brabo Choke)","John McCarthy","1","3:43","-400"
"Gladiator Challenge - California State Championship Series","WIN","TATIANA SUAREZ","ARLINE COBAN","TKO (Punches)","Josh Rosenthal","2","0:48",""
"Gladiator Challenge - California State Championship Series","WIN","TATIANA SUAREZ","CAROLINA ALVAREZ","Submission (Armbar)","Greg Guzman","1","2:01",""
"Gladiator Challenge - Night of the Champions","WIN","TATIANA SUAREZ","TYRA PARKER","Decision (Unanimous)","N/A","3","5:00",""
"UFC - The Ultimate Fighter Season 23 Semifinals, Day 2","WIN","TATIANA SUAREZ","KATE JACKSON","Submission (Guillotine Choke)","Herb Dean","1","2:52","-400"
"UFC - The Ultimate Fighter Season 23 Quarterfinals, Day 1","WIN","TATIANA SUAREZ","J.J. ALDRICH","Submission (Rear-Naked Choke)","Jason Herzog","2","3:14","-400"
"SSP - Spar Star Promotions","WIN","TATIANA SUAREZ","JESSICA PRYOR","Decision (Unanimous)","N/A","3","2:00",""
"Armored Wings - Mansion Fights 14","WIN","TATIANA SUAREZ","ELIZABETH RODRIGUEZ","TKO (Punches)","N/A","1","1:19",""
"UFC Fight Night 143 - Cejudo vs. Dillashaw","LOSS","TE EDWARDS","DENNIS BERMUDEZ","Decision (Unanimous)","Blake Grice","3","5:00","-145"
"UFC Fight Night 138 - Oezdemir vs. Smith","LOSS","TE EDWARDS","DON MADGE","KO (Head Kick)","Barry Gallant","2","0:14","-610"
"Dana White's Tuesday Night Contender Series - Season 2, Episode 3","WIN","TE EDWARDS","AUSTIN TWEEDY","KO (Punch)","Chris Tognoni","1","0:28",""
"Iron Boy Promotions - Iron Boy MMA 8","WIN","TE EDWARDS","BRANDON TRUJILLO","TKO (Punches)","N/A","1","1:57",""
"TPF 32 - Tachi Palace Fights 32","WIN","TE EDWARDS","OUSMANE THOMAS DIAGNE","TKO (Head Kick and Punches)","Jason McCoy","1","2:27",""
"Bellator 148 - Daley vs. Uhrich","WIN","TE EDWARDS","NICK BUSTAMANTE","KO (Punch)","Mike Beltran","1","0:43",""
"RFA 17 - Cochrane vs. Giagos","WIN","TE EDWARDS","BRYCE LOGAN","TKO (Punches)","N/A","1","0:33",""
"WFF - World Fighting Federation 14","LOSS","TE EDWARDS","RAYMOND PINA","Decision (Unanimous)","N/A","3","5:00",""
"SF - Shogun Fights 9","WIN","TE EDWARDS","BRAD MOUNTAIN","TKO (Punches)","Dan Miragliotta","1","1:29",""
"UFC Fight Night 156 - Shevchenko vs. Carmouche 2","LOSS","TECIA TORRES","MARINA RODRIGUEZ","Decision (Unanimous)","Fernando Portella","3","5:00","-172"
"UFC 235 - Jones vs. Smith","LOSS","TECIA TORRES","WEILI ZHANG","Decision (Unanimous)","Chris Tognoni","3","5:00","-105"
"UFC on Fox 30 - Alvarez vs. Poirier 2","LOSS","TECIA TORRES","JOANNA JEDRZEJCZYK","Decision (Unanimous)","Keith Peterson","3","5:00","+210"
"UFC on Fox 28 - Emmett vs. Stephens","LOSS","TECIA TORRES","JESSICA ANDRADE","Decision (Unanimous)","N/A","3","5:00","+188"
"UFC 218 - Holloway vs. Aldo 2","WIN","TECIA TORRES","MICHELLE WATERSON","Decision (Unanimous)","Keith Peterson","3","5:00","-270"
"UFC - The Ultimate Fighter 25 Finale","WIN","TECIA TORRES","JULIANA LIMA","Submission (Rear-Naked Choke)","Chris Tognoni","2","0:53","-833"
"UFC Fight Night 104 - Bermudez vs. Korean Zombie","WIN","TECIA TORRES","BEC RAWLINGS","Decision (Unanimous)","Jacob Montalvo","3","5:00","-490"
"UFC on Fox 19 - Teixeira vs. Evans","LOSS","TECIA TORRES","ROSE NAMAJUNAS","Decision (Unanimous)","Dan Miragliotta","3","5:00","+130"
"UFC 194 - Aldo vs. McGregor","WIN","TECIA TORRES","JOCELYN JONES-LYBARGER","Decision (Unanimous)","Herb Dean","3","5:00","-320"
"UFC 188 - Velasquez vs. Werdum","WIN","TECIA TORRES","ANGELA HILL","Decision (Unanimous)","John McCarthy","3","5:00","-330"
"UFC - The Ultimate Fighter 20 Finale","WIN","TECIA TORRES","ANGELA MAGANA","Decision (Unanimous)","Kim Winslow","3","5:00","-833"
"Invicta FC 7 - Honchak vs. Smith","WIN","TECIA TORRES","FELICE HERRIG","Decision (Unanimous)","Mike England","3","5:00","-160"
"Invicta FC 6 - Cyborg vs. Coenen 2","WIN","TECIA TORRES","ROSE NAMAJUNAS","Decision (Unanimous)","John McCarthy","3","5:00","n/a"
"Invicta FC 4 - Esparza vs. Hyatt","WIN","TECIA TORRES","PAIGE VANZANT","Decision (Unanimous)","Rob Hinds","3","5:00","n/a"
"Invicta FC 3 - Penne vs. Sugiyama","WIN","TECIA TORRES","KAIYANA RAIN","Decision (Unanimous)","Michelle Drake Browning","3","5:00","n/a"
"UFC - The Ultimate Fighter Season 20 Quarterfinals, Day 2","LOSS","TECIA TORRES","CARLA ESPARZA","Decision (Majority)","Herb Dean","2","5:00","-833"
"UFC - The Ultimate Fighter Season 20 Opening Round, Day 7","WIN","TECIA TORRES","BEC RAWLINGS","Decision (Unanimous)","Herb Dean","2","5:00","-833"
"UFC - The Ultimate Fighter Season 20 Opening Round, Day 1","LOSS","TECIA TORRES","RANDA MARKOS","Decision (Unanimous)","Herb Dean","3","5:00","-833"
"ABC - Rumble at Renegades 11","WIN","TECIA TORRES","AMBER STAUTZENBERGER","Decision (Unanimous)","Russell Greenberg","3","3:00",""
"USFFC 5 - Battle Forged","WIN","TECIA TORRES","ASHLEY GREENWAY","Decision (Unanimous)","Al Coley","5","4:00",""
"MMASG - Bone Island Fights","WIN","TECIA TORRES","JAMIE MOYLE","Decision (Unanimous)","Paul Domenech","3","3:00",""
"VFC - Victory Fighting Championship 37","WIN","TECIA TORRES","SARAH SHELL","Decision (Unanimous)","N/A","3","3:00",""
"MLCF - Major League Cage Fighting","WIN","TECIA TORRES","JILL VALENZUELA","Decision (Unanimous)","Frank Gentile","3","3:00",""
"NAAFS - Caged Fury 15","WIN","TECIA TORRES","REBECCA GRUITZA","TKO (Punches)","Jerry Poe","1","0:28",""
"WBFN - Wild Bill's Fight Night 40","WIN","TECIA TORRES","IVEY TURNER","Submission (Rear-Naked Choke)","N/A","2","2:43",""
"UFC 242 - Khabib vs. Poirier","LOSS","TEEMU PACKALEN","OTTMAN AZAITAR","KO (Punch)","Peter Hickmott","1","3:33","+150"
"UFC Fight Night 107 - Manuwa vs. Anderson","LOSS","TEEMU PACKALEN","MARC DIAKIESE","KO (Punch)","Neil Hall","1","0:30","+135"
"UFC Fight Night 84 - Silva vs. Bisping","WIN","TEEMU PACKALEN","THIBAULT GOUTI","Submission (Rear-Naked Choke)","Grant Waterman","1","0:24","-125"
"UFC Fight Night 72 - Bisping vs. Leites","LOSS","TEEMU PACKALEN","MICKAEL LEBOUT","Decision (Unanimous)","Leon Roberts","3","5:00","-150"
"Fight Night Finland - Turku Fight Night","WIN","TEEMU PACKALEN","SULEIMAN BOUHATA","Submission (Guillotine Choke)","Mikko Aaltonen","1","0:23",""
"Cage - Cage 27","WIN","TEEMU PACKALEN","HYRAM RODRIGUEZ","Submission (Kimura)","N/A","2","1:47",""
"Cage - Cage 26","WIN","TEEMU PACKALEN","SEBASTIAN FOURNIER","TKO (Elbows)","N/A","1","1:53","-505"
"Cage 24 - Turku 3","WIN","TEEMU PACKALEN","DAMIEN LAPILUS","Submission (Heel Hook)","N/A","1","2:44",""
"SUW - StandUpWar 4","WIN","TEEMU PACKALEN","GRZEGORZ SAJBOR","Submission (Armbar)","Mika Sinkkonen","1","1:58",""
"Fight for Glory - First Round","WIN","TEEMU PACKALEN","KONSTANTINOS PERSSON","Submission (Rear-Naked Choke)","Henry Printz","2","2:37",""
"StandUpWar 3 - Rising Stars","WIN","TEEMU PACKALEN","GRZEGORZ SZULAKOWSKI","TKO (Doctor Stoppage)","N/A","1","5:00",""
"StandUpWar 2 - StandUpWar","WIN","TEEMU PACKALEN","OLI ANDERSON","TKO (Punches)","N/A","1","0:26",""
"StandUpWar 1 - Beginning","WIN","TEEMU PACKALEN","ALEKSI MANTYKIVI","Submission (Armbar)","N/A","1","1:32",""
"UFC Fight Night 136 - Hunt vs. Oleynik","LOSS","TERRION WARE","MERAB DVALISHVILI","Decision (Unanimous)","N/A","3","5:00","+345"
"UFC Fight Night 127 - Werdum vs. Volkov","LOSS","TERRION WARE","TOM DUQUESNOY","Decision (Unanimous)","Grant Waterman","3","5:00","+250"
"UFC - The Ultimate Fighter 26 Finale","LOSS","TERRION WARE","SEAN O'MALLEY","Decision (Unanimous)","Herb Dean","3","5:00","+180"
"UFC 213 - Romero vs. Whittaker","LOSS","TERRION WARE","CODY STAMANN","Decision (Unanimous)","Marc Goddard","3","5:00","+195"
"CXF 7 - Locked and Loaded","WIN","TERRION WARE","JARED PAPAZIAN","KO (Punch)","Frank Trigg","3","0:20",""
"ACB 51 - Silva vs. Torgeson","WIN","TERRION WARE","NICK MAMALIS","Decision (Unanimous)","Michael Bell","3","5:00",""
"RFA 40 - Sklavos vs. Camus","WIN","TERRION WARE","MARVIN BLUMER","Decision (Unanimous)","Merrick Morlan","3","5:00","-140"
"CXF 2 - Gold Rush","WIN","TERRION WARE","ROB GOOCH","Decision (Unanimous)","Mike Bell","3","5:00",""
"RFA 29 - USA vs. Brazil","LOSS","TERRION WARE","LEANDRO HIGO","Submission (Rear-Naked Choke)","N/A","3","4:58","+175"
"AXS TV Fights - RFA vs. Legacy Superfight","LOSS","TERRION WARE","LUKE SANDERS","Decision (Unanimous)","David Ferguson","5","5:00",""
"RFA 23 - Murphy vs. Ware","WIN","TERRION WARE","JOE MURPHY","Decision (Unanimous)","Herb Dean","3","5:00","+160"
"BAMMA USA - Badbeat 13","WIN","TERRION WARE","JEFF MARTIN","TKO (Punches)","Herb Dean","4","1:47",""
"TPF 20 - Night of Champions","LOSS","TERRION WARE","JOE SOTO","Submission (North-South Choke)","Jason McCoy","3","2:48",""
"BAMMA USA - Badbeat 12","WIN","TERRION WARE","ERIC WINSTON","Decision (Unanimous)","Mike Beltran","5","5:00",""
"RFA 12 - Ortega vs. Koch","WIN","TERRION WARE","ZAC CHAVEZ","Submission (Rear-Naked Choke)","Jason Herzog","2","3:58",""
"KOTC - Terrified","WIN","TERRION WARE","KEVIN MICHEL","Submission (Triangle Choke)","N/A","1","4:26",""
"BAMMA USA - Pro Series 3","WIN","TERRION WARE","GERMAN BALTAZAR","Decision (Split)","John McCarthy","3","5:00",""
"MEZ Sports - Pandemonium 9","WIN","TERRION WARE","OCTAVIO MORALES","Submission (Choke)","Jackie Denkin","2","3:12",""
"BAMMA USA - Badbeat 9","WIN","TERRION WARE","BOBBY SANCHEZ","KO (Punch)","Mike Bell","1","0:48",""
"BAMMA USA - Badbeat 8","LOSS","TERRION WARE","JARED PAPAZIAN","Decision (Unanimous)","John McCarthy","3","5:00",""
"IFS 13 - Ultimate Conquest","WIN","TERRION WARE","PAUL AMARO","Decision (Unanimous)","N/A","3","3:00",""
"BAMMA USA - Badbeat 7","WIN","TERRION WARE","MARVIN MADARIAGA","Decision (Split)","Mike Beltran","3","5:00",""
"IFS 12 - Gladiators Collide","WIN","TERRION WARE","JOHN SASSONE","KO","N/A","1","1:47",""
"CITC 11 - Xtreme Couture vs. Southern California","WIN","TERRION WARE","JUSTIN SANTISTEVAN","KO (Punch)","N/A","1","2:38",""
"Samurai Pro Sports - Samurai MMA Pro 3","LOSS","TERRION WARE","PAUL AMARO","Submission (Guillotine Choke)","Jason Herzog","3","2:09",""
"IFS 11 - War of Titans","WIN","TERRION WARE","JOHN SASSONE","TKO (Punches)","Luis Cobian","1","2:29",""
"Momentum FC - Fight Night 3","LOSS","TERRION WARE","BENJI GOMEZ","Decision (Unanimous)","Larry Landless","3","2:00",""
"KP - Knockout Promotions","LOSS","TERRION WARE","CARLOS ALANIZ","Submission","N/A","1","1:15",""
"Momentum FC - Fight Night 2","WIN","TERRION WARE","SAUL AYON","Decision (Unanimous)","Mike Beltran","3","2:00",""
"Ring of Fire - Quake in the Cage 7","LOSS","TERRION WARE","LUIS MORALES","Decision (Split)","N/A","3","2:00",""
"TFA - Total Fighting Alliance","WIN","TERRION WARE","JONATHAN ESTEVA","Decision (Unanimous)","N/A","3","2:00",""
"Ring of Fire - Quake in the Cage 5","WIN","TERRION WARE","JOSE HUERTA","Decision (Unanimous)","N/A","3","2:00",""
"Ring of Fire - Quake in the Cage 4","WIN","TERRION WARE","MATT PRINCE","Decision (Unanimous)","N/A","3","2:00",""
"UFC 234 - Adesanya vs. Silva","LOSS","TERUTO ISHIHARA","KYUNG HO KANG","Technical Submission (Rear-Naked Choke)","Herb Dean","1","3:59","+240"
"UFC Fight Night 132 - Cerrone vs. Edwards","LOSS","TERUTO ISHIHARA","PETR YAN","TKO (Punches)","Steve Perceval","1","3:28","+370"
"UFC 221 - Romero vs. Rockhold","LOSS","TERUTO ISHIHARA","JOSE ALBERTO QUINONEZ","Decision (Unanimous)","Marc Goddard","3","5:00","+130"
"UFC Fight Night 117 - St. Preux vs. Okami","WIN","TERUTO ISHIHARA","ROLANDO DY","Decision (Unanimous)","John Sharp","3","5:00","-185"
"UFC - The Ultimate Fighter 25 Finale","LOSS","TERUTO ISHIHARA","GRAY MAYNARD","Decision (Unanimous)","Jason Herzog","3","5:00","-380"
"UFC Fight Night 99 - Mousasi vs. Hall 2","LOSS","TERUTO ISHIHARA","ARTEM LOBOV","Decision (Unanimous)","Rich Mitchell","3","5:00","-280"
"UFC Fight Night 92 - Rodriguez vs. Caceres","WIN","TERUTO ISHIHARA","HORACIO GUTIERREZ","KO (Punches)","Dave Seljestad","1","2:32","-270"
"UFC 196 - McGregor vs. Diaz","WIN","TERUTO ISHIHARA","JULIAN EROSA","KO (Punches)","Chris Tognoni","2","0:34","+135"
"UFC Fight Night 75 - Barnett vs. Nelson","DRAW","TERUTO ISHIHARA","MIZUTO HIROTA","Draw (Split)","Greg Kleynjans","3","5:00","+190"
"Vale Tudo Japan - VTJ 5th in Osaka","WIN","TERUTO ISHIHARA","JUNG HWAN JO","TKO (Punches)","N/A","2","3:24",""
"Vale Tudo Japan - VTJ 4th","LOSS","TERUTO ISHIHARA","YUTA SASAKI","Technical Submission (Rear-Naked Choke)","Larry Landless","2","1:46",""
"Vale Tudo Japan - VTJ 2nd","WIN","TERUTO ISHIHARA","KOJI MORI","TKO (Punch)","Minoru Toyonaga","1","2:12",""
"Shooto - Border: Season 4 - Second","DRAW","TERUTO ISHIHARA","KAZUHIRO ITO","Technical Draw (Fighters Fell from Ring)","N/A","1","4:48",""
"Shooto - Gig West 14","WIN","TERUTO ISHIHARA","YASUAKI NAGAMOTO","KO","N/A","1","0:19",""
"Shooto - Border: Season 4 - First","WIN","TERUTO ISHIHARA","JONG HOON CHOI","KO (Punches)","Toshiharu Suzuki","1","1:03",""
"Shooto - The Rookie Tournament 2011 Final","LOSS","TERUTO ISHIHARA","MICHINORI TANAKA","Decision (Unanimous)","Toshiharu Suzuki","2","5:00",""
"Shooto - Border: Season 3 - Roaring Thunder","WIN","TERUTO ISHIHARA","KENJI YAMAMOTO","KO (Punch)","N/A","1","0:16",""
"Shooto - Gig West 13","WIN","TERUTO ISHIHARA","NARITOSHI KAKUTA","KO (Punch)","N/A","1","4:56",""
